"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C5,C8,C9";"C_1206_3216Metric";3;"4.7uF";;;
2;"J4";"PinHeader_2x03_P2.54mm_Vertical";1;"UPDI";;;
3;"C3";"CP_Radial_D5.0mm_P2.00mm";1;"4.7uF";;;
4;"J1";"PinHeader_2x05_P2.54mm_Vertical";1;"JTAG";;;
5;"R12,R11";"R_0805_2012Metric";2;"1K";;;
6;"R13,R3";"R_0805_2012Metric";2;"10K";;;
7;"C18,C12,C17,C16,C14,C15,C19,C25,C6,C20,C26,C24,C27,C4,C11,C13,C1";"C_0603_1608Metric";17;"0.1uF";;;
8;"H4,H3,H1,H2";"Altronics_H0190_mounting_hole";4;"MountingHole";;;
9;"U7";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
10;"U8";"SOT-223-3_TabPin2";1;"AMS1117-1.8";;;
11;"U4";"XO_7x5";1;"Oscillator7x5";;;
12;"J5";"BarrelJack_Horizontal";1;"Conn_01x02_Female";;;
13;"C21,C22,C10,C28,C2,C7";"C_0603_1608Metric";6;"C";;;
14;"U9";"TQFP-100_14x14mm_P0.5mm";1;"5M80Z";;;
15;"U5";"MSOP-10_3x3mm_P0.5mm";1;"MCP795xx";;;
16;"U3";"SOT-223-3_TabPin2";1;"AZ1117-5.0";;;
17;"D6,D5";"LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm";2;"LED";;;
18;"J2";"PinHeader_1x02_P2.54mm_Vertical";1;"Program_enable";;;
19;"U6";"LQFP-48_7x7mm_P0.5mm";1;"~";;;
20;"R19,R20,R24,R23,R15,R2,R21,R14,R1,R22";"R_0805_2012Metric";10;"220";;;
21;"Q4,Q3";"SOT-23";2;"BC847";;;
22;"U2";"TSSOP-16_4.4x5mm_P0.65mm";1;"MAX3232";;;
23;"Y1";"Crystal_C38-LF_D3.0mm_L8.0mm_Vertical";1;"32KHz";;;
24;"J14";"MicroSD_card_MSD-4-A";1;"MicroSD Card 0";;;
25;"D2,D1";"D_1206_3216Metric";2;"D_Schottky";;;
26;"R25,R26";"R_0805_2012Metric";2;"R";;;
27;"J3";"Amphenol_SD_Card_GSD090012SEU";1;"SD Card 1";;;
28;"U1";"TSSOP-20_4.4x6.5mm_P0.65mm";1;"74LVC245";;;
29;"R18,R17";"R_0805_2012Metric";2;"2K";;;
30;"J6";"PinHeader_2x03_P2.54mm_Vertical";1;"Conn_02x03_Odd_Even";;;
31;"C29,C30";"C_0603_1608Metric";2;"3pF";;;
32;"D3";"D_1206_3216Metric";1;"D";;;
33;"U11";"TSSOP-24_4.4x7.8mm_P0.65mm";1;"74LVC8T245";;;
34;"J10";"IDC-Header_DB19_P2.54mm_Horizontal";1;"ST ACSI BUS";;;
35;"BT1";"712-BAT-HLD-002-SMT";1;"Battery_Cell";;;
